TI,AU,DO,YR,Title Screen,Abstract Screen,Data Screen,Data Extracted
selective transmission of human immunodeficiency virus type-1 variants from mothers to infants,Wolinsky SM,10.1126/science.1546316,1992,1,1,1,1
analysis of envelope sequence variants suggests multiple mechanisms of mother-to-child transmission of human immunodeficiency virus type 1,Briant L,10.1128/JVI.69.6.3778-3788.1995,1995,1,1,1,1
diversity in virus populations from genital secretions and peripheral blood from women recently infected with human immunodeficiency virus type 1,Poss M, 10.1128/JVI.69.12.8118-8122.1995,1995,1,1,1,1
analysis of human immunodeficiency virus type 1 env and gag sequence variants derived from a mother and two vertically infected children provides evidence for the transmission of multiple sequence variants,Wade CM,10.1099/0022-1317-79-5-1055 ,1998,1,1,1,1
gender differences in hiv-1 diversity at time of infection,Long EM,10.1038/71563,2000,1,1,1,1
"perinatal transmission of major, minor, and multiple maternal human immunodeficiency virus type 1 variants in utero and intrapartum",Dickover RE,10.1128/JVI.75.5.2194-2203.2001 ,2001,1,1,1,1
homogeneous quasispecies in 16 out of 17 individuals during very early hiv-1 primary infection,Delwart E,10.1097/00002030-200201250-00007,2002,1,1,1,1
virus population homogenization following acute human immunodeficiency virus type 1 infection,Learn GH,10.1128/jvi.76.23.11953-11959.2002,2002,1,1,1,1
in-utero transmission of quasispecies among human immunodeficiency virus type 1 genotypes,Renjifo B,10.1016/s0042-6822(02)00066-1,2003,1,1,1,1
infection with multiple human immunodeficiency virus type 1 variants is associated with faster disease progression,Sagar M,10.1128/jvi.77.23.12921-12926.2003,2003,1,1,1,1
diversity of the human immunodeficiency virus type 1 (hiv-1) env sequence after vertical transmission in mother-child pairs infected with hiv-1 subtype a,Verhofstede C,10.1128/jvi.77.5.3050-3057.2003,2003,1,1,1,1
envelope-constrained neutralization-sensitive hiv-1 after heterosexual transmission,Derdeyn CA,10.1126/science.1093137 ,2004,1,1,1,1
multiple v1/v2 env variants are frequently present during primary infection with human immunodeficiency virus type 1,Ritola K,10.1128/JVI.78.20.11208-11218.2004 ,2004,1,1,1,1
human immunodeficiency virus type 1 (hiv-1) diversity at time of infection is not restricted to certain risk groups or specific hiv-1 subtypes,Sagar M,10.1128/JVI.78.13.7279-7283.2004 ,2004,1,1,1,1
diversity in hiv-1 envelope v1-v3 sequences early in infection reflects sequence diversity throughout the hiv-1 genome but does not predict the extent of sequence diversity during chronic infection,Sagar M,10.1089/aid.2006.22.430,2006,1,1,1,1
