TI,AU,DO,YR,Title Screen,Abstract Screen,Data Screen,Data Extracted,,,,
electronic and other new media technology interventions for hiv care and prevention: a systematic review,Maloney KM,10.1002/jia2.25439,2020,review,,0,,,,,
evolution of experimental design and research techniques in hiv-1 reservoir studies: a systematic review,De-Scheerder M-A,10.24875/AIDSRev.M20000028,2020,review,,0,,,,,
hiv-1 maturation: lessons learned from inhibitors [review],Kleinpeter AB,10.3390/v12090940,2020,review,,0,,,,,
hiv-1 subtype frequency in northeast brazil: a systematic review and meta-analysis,da Costa CP,10.1002/jmv.25842,2020,review,,0,,,,,
human immunodeficiency virus infection and diverse physical health outcomes: an umbrella review of meta-analyses of observational studies,Grabovac I,10.1093/cid/ciz539,2020,review,,0,,,,,
impact of male circumcision on risk of hiv infection in men in a changing epidemic context - systematic review and meta-analysis,Farley TMM,10.1002/jia2.25490,2020,review,,0,,,,,
initial manifestation of parotid extra-medullary myeloma in an hiv positive patient on anti-retroviral therapy: a case report and review of the literature,Maharaj S,10.3892/br.2020.1335,2020,review,,0,,,,,
minding the gap in hiv host genetics: opportunities and challenges [review],Gingras SN,10.1007/s00439-020-02177-9,2020,review,,0,,,,,
recent advances in natural anti-hiv triterpenoids and analogs [review],Wu HF,10.1002/med.21708,2020,review,,0,,,,,
sensor sensibility-hiv-1 and the innate immune response [review],Yin X,10.3390/cells9010254,2020,review,,0,,,,,
single-cell technologies applied to hiv-1 research: reaching maturity [review],Sannier G,10.3389/fmicb.2020.00297,2020,review,,0,,,,,
"structure, function, and inhibitor targeting of hiv-1 nef-effector kinase complexes [review]",Staudt RP,10.1074/jbc.REV120.012317,2020,review,,0,,,,,
the role of torsin aaa+ proteins in preserving nuclear envelope integrity and safeguarding against disease [review],Rampello AJ,10.3390/biom10030468,2020,review,,0,,,,,
understanding the mechanisms driving the spread of subtype c hiv-1 [review],Gartner MJ,10.1016/j.ebiom.2020.102682,2020,review,,0,,,,,
a review of hiv testing strategies among msm (2005-2015): changes and continuities due to the biomedicalization of responses to aids,Monteiro,10.1080/17441692.2018.1545038,2019,review,,0,,,,,
a review of telehealth innovations for hiv pre-exposure prophylaxis (prep),Touger R,10.1007/s11904-019-00430-z,2019,review,,0,,,,,
challenges to the performance of current hiv diagnostic assays and the need for centralized specimen archives: a review of the consortium for the evaluation and performance of hiv incidence assays (cephia) repository,Facente SN,10.12688/gatesopenres.12903.1,2019,review,,0,,,,,
effect of fc receptor genetic diversity on hiv-1 disease pathogenesis [review],Geraghty DE,10.3389/fimmu.2019.00970,2019,review,,0,,,,,
experiences of hiv-infected adults and healthcare providers with healthcare delivery practices that influence engagement in us primary healthcare settings: a qualitative systematic review,Norberg A,10.11124/JBISRIR-2017-003756,2019,review,,0,,,,,
hiv-1 antibodies in prevention of transmission [review],Barin F,10.1097/COH.0000000000000553,2019,review,,0,,,,,
"human dendritic cell subsets, ontogeny, and impact on hiv infection [review]",Rhodes JW,10.3389/fimmu.2019.01088,2019,review,,0,,,,,
nanoparticle vaccines for inducing hiv-1 neutralizing antibodies [review],Brinkkemper M,10.3390/vaccines7030076,2019,review,,0,,,,,
nanotechnology approaches to eradicating hiv reservoirs [review],Cao S,10.1016/j.ejpb.2018.06.002,2019,review,,0,,,,,
phylogenetic inference for the study of within-host hiv-1 dynamics and persistence on antiretroviral therapy [review],Capoferri AA,10.1016/S2352-3018(19)30051-7,2019,review,,0,,,,,
