"","covariate_level","emmean","SE","df","asymp.LCL","asymp.UCL","label"
"f1.1","HSX",-1.35529884286799,0.184385620590539,Inf,-1.71668801849252,-0.993909667243471,"Riskgroup.no_smallsample"
"f1.2","MSM",-0.950428298207263,0.18211734325241,Inf,-1.30737173194211,-0.593484864472421,"Riskgroup.no_smallsample"
"f1.3","MTC",-0.885106916445764,0.329179679494121,Inf,-1.53028723269668,-0.239926600194849,"Riskgroup.no_smallsample"
"f1.4","PWID",-0.224398520906364,0.369108008898783,Inf,-0.947836924753269,0.49903988294054,"Riskgroup.no_smallsample"
"f2.1","HSX:MTF",-1.18291185801535,0.194251860136072,Inf,-1.56363850781196,-0.802185208218737,"Reported Exposure.no_smallsample"
"f2.2","HSX:FTM",-1.7685407090131,0.250968765794687,Inf,-2.26043045121515,-1.27665096681104,"Reported Exposure.no_smallsample"
"f2.3","HSX:nodirection",-0.661795110100326,0.597569839984178,Inf,-1.83301047471668,0.509420254516026,"Reported Exposure.no_smallsample"
"f2.4","MSM",-0.945032588912773,0.174728108558621,Inf,-1.28749338877448,-0.602571789051071,"Reported Exposure.no_smallsample"
"f2.5","MTC:IntraP",-0.0499999586988522,0.468679207910504,Inf,-0.9685943265062,0.868594409108496,"Reported Exposure.no_smallsample"
"f2.6","MTC:notiming",-2.08210170605617,0.773530236822411,Inf,-3.59819311118084,-0.566010300931509,"Reported Exposure.no_smallsample"
"f2.7","MTC:PostP",-1.57812870790474,1.00020029887608,Inf,-3.53848527102805,0.38222785521856,"Reported Exposure.no_smallsample"
"f2.8","MTC:PreP",-0.725632381570592,0.397343615857683,Inf,-1.50441155813857,0.0531467949973852,"Reported Exposure.no_smallsample"
"f2.9","PWID",-0.260760473728536,0.35582392826109,Inf,-0.958162557957836,0.436641610500763,"Reported Exposure.no_smallsample"
"f3.1","haplotype",-1.08058808678925,0.184586200612923,Inf,-1.44237039203366,-0.718805781544833,"Grouped Method.no_smallsample"
"f3.2","distance",-1.20164921244782,0.331933477716474,Inf,-1.85222687403524,-0.551071550860406,"Grouped Method.no_smallsample"
"f3.3","model",-2.32303696374418,0.907238403573853,Inf,-4.10119156014055,-0.544882367347814,"Grouped Method.no_smallsample"
"f3.4","molecular",-0.427098333364981,0.233050810614297,Inf,-0.883869528736868,0.0296728620069062,"Grouped Method.no_smallsample"
"f3.5","phylogenetic:R",-1.3189658994275,0.207194340632287,Inf,-1.72505934486731,-0.912872453987691,"Grouped Method.no_smallsample"
"f3.6","phylogenetic:S&R",-0.894233433032068,0.31979555977794,Inf,-1.52102121261266,-0.267445653451481,"Grouped Method.no_smallsample"
"f4.1","env",-0.883002861602724,0.114390501978287,Inf,-1.10720412565362,-0.658801597551824,"Sequencing Gene.no_smallsample"
"f4.2","gag",-1.0094791380652,0.710328621446934,Inf,-2.40169765328918,0.382739377158775,"Sequencing Gene.no_smallsample"
"f4.3","pol",-15.5741892153344,726.43402212435,Inf,-1439.35870972363,1408.21033129296,"Sequencing Gene.no_smallsample"
"f4.4","whole.genome",-1.87291838985586,0.317187727245245,Inf,-2.49459491159466,-1.25124186811707,"Sequencing Gene.no_smallsample"
"f5.1","NFLG",-1.86241168664831,0.297838346261276,Inf,-2.44616411853538,-1.27865925476124,"Alignment Bin.no_smallsample"
"f5.2","0-250",-0.67109170157999,0.621312890705566,Inf,-1.88884259049337,0.54665918733339,"Alignment Bin.no_smallsample"
