"","covariate_level","emmean","SE","df","asymp.LCL","asymp.UCL","label","data"
"sing.1","HSX",-1.44888224177158,0.179783057530852,Inf,-1.80125055956255,-1.09651392398062,"Riskgroup.reps","sing"
"sing.2","MSM",-1.01110505290717,0.170504922863359,Inf,-1.34528856090613,-0.676921544908209,"Riskgroup.reps","sing"
"sing.3","MTC",-0.975873937755236,0.268265528593385,Inf,-1.50166471209187,-0.450083163418602,"Riskgroup.reps","sing"
"sing.4","PWID",-0.52541407805183,0.332502142933628,Inf,-1.17710630298413,0.126278146880469,"Riskgroup.reps","sing"
"rep.1","HSX",-1.32691559105263,0.136989729859701,Inf,-1.59541052782952,-1.05842065427575,"Riskgroup.reps","rep"
"rep.2","MSM",-1.04751722162129,0.137022211883891,Inf,-1.31607582199574,-0.778958621246853,"Riskgroup.reps","rep"
"rep.3","MTC",-0.990252479264548,0.261770491348423,Inf,-1.50331321452281,-0.477191744006286,"Riskgroup.reps","rep"
"rep.4","PWID",-0.35187990460684,0.279185244220447,Inf,-0.899072928293936,0.195313119080256,"Riskgroup.reps","rep"
"sing.11","HSX:MTF",-1.28062020215192,0.195810658529197,Inf,-1.66440204065822,-0.896838363645623,"Reported Exposure.reps","sing"
"sing.21","HSX:FTM",-1.91971318402622,0.249013249381126,Inf,-2.40777018448652,-1.43165618356593,"Reported Exposure.reps","sing"
"sing.31","HSX:nodirection",-0.689078265590549,0.602932786372512,Inf,-1.87080481197905,0.492648280797956,"Reported Exposure.reps","sing"
"sing.41","MSM",-0.998249196853275,0.169753014634749,Inf,-1.33095899180448,-0.665539401902067,"Reported Exposure.reps","sing"
"sing.5","MTC:IntraP",-0.656252493270586,0.393381708434847,Inf,-1.42726647397972,0.11476148743855,"Reported Exposure.reps","sing"
"sing.6","MTC:notiming",-1.07584870549323,0.498452987186572,Inf,-2.05279860836532,-0.0988988026211484,"Reported Exposure.reps","sing"
"sing.7","MTC:PostP",-1.5890692321969,1.0486630485869,Inf,-3.6444110393452,0.466272574951397,"Reported Exposure.reps","sing"
"sing.8","MTC:PreP",-1.05167283138665,0.385268726714139,Inf,-1.80678566011597,-0.296560002657333,"Reported Exposure.reps","sing"
"sing.9","PWID",-0.549006464127107,0.331210840424701,Inf,-1.19816778264876,0.10015485439455,"Reported Exposure.reps","sing"
"rep.11","HSX:MTF",-1.21365242967734,0.147337166991235,Inf,-1.50242797056433,-0.924876888790358,"Reported Exposure.reps","rep"
"rep.21","HSX:FTM",-1.50493685806878,0.161500202312097,Inf,-1.82147143809642,-1.18840227804113,"Reported Exposure.reps","rep"
"rep.31","HSX:nodirection",-0.817314876857854,0.504359091782899,Inf,-1.80584053202767,0.17121077831196,"Reported Exposure.reps","rep"
"rep.41","MSM",-1.05652382485098,0.133629755950218,Inf,-1.31843333377628,-0.794614315925675,"Reported Exposure.reps","rep"
"rep.5","MTC:IntraP",-0.637833681771112,0.382490407350521,Inf,-1.38750110461019,0.111833741067964,"Reported Exposure.reps","rep"
"rep.6","MTC:notiming",-1.15381567206988,0.473816541594896,Inf,-2.0824790288752,-0.225152315264555,"Reported Exposure.reps","rep"
"rep.7","MTC:PostP",-1.5830924946132,1.0212618653664,Inf,-3.58472896951554,0.418543980289136,"Reported Exposure.reps","rep"
"rep.8","MTC:PreP",-1.03330244016761,0.372326166931768,Inf,-1.76304831785573,-0.303556562479501,"Reported Exposure.reps","rep"
"rep.9","PWID",-0.375423254037403,0.274077099674848,Inf,-0.912604498387299,0.161757990312494,"Reported Exposure.reps","rep"
"sing.12","haplotype",-1.06721651356404,0.178207895714578,Inf,-1.41649757092529,-0.7179354562028,"Grouped Method.reps","sing"
